Season Year,Rk,Player,Age,Team,Position,Games Played,Goals,Assists,Points,Plus/Minus,Penalities in Minutes,Point Shares,Even Strength Goals,Power Play Goals,Short-Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots on Goal,Shooting Percentage,Time on Ice,Average Time on Ice,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Win Percentage
2023-2024,1,Noel Acciari,32,PIT,C,9,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,8,0,106,11:44,11,18,45,42,51.7
2023-2024,2,Calen Addison,23,MIN,D,9,0,4,4,-2,2,0.1,0,0,0,0,2,2,0,15,0,162,18:00,4,3,0,0,
2023-2024,3,Sebastian Aho,27,NYI,D,8,0,1,1,-1,0,0.1,0,0,0,0,1,0,0,8,0,108,13:31,13,2,0,0,
2023-2024,4,Sebastian Aho,26,CAR,F,7,1,5,6,0,4,0.4,0,0,1,0,2,2,1,24,4.2,143,20:23,1,1,31,32,49.2
2023-2024,5,Nikita Alexandrov,23,STL,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,9:11,2,4,2,6,25
2023-2024,6,Alexander Alexeyev,24,WSH,D,4,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0,42,10:34,4,0,0,0,
2023-2024,7,Michael Amadio,27,VEG,C,10,2,3,5,7,0,0.8,2,0,0,0,2,1,0,12,16.7,115,11:31,6,2,3,1,75
2023-2024,8,Josh Anderson,29,MTL,RW,9,0,1,1,-4,22,-0.3,0,0,0,0,1,0,0,20,0,150,16:42,4,22,2,0,100
2023-2024,9,Michael Anderson,24,LAK,D,8,1,6,7,5,4,1.1,1,0,0,0,5,0,1,8,12.5,156,19:31,11,17,0,0,
2023-2024,10,Jaret Anderson-Dolan,24,LAK,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6:51,0,2,0,1,0
2023-2024,11,Rasmus Andersson,27,CGY,D,5,1,2,3,1,15,0.7,0,0,1,0,1,1,0,13,7.7,118,23:39,14,0,0,0,
2023-2024,12,Emil Andrae,21,PHI,D,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,52,13:00,6,2,0,0,
2023-2024,13,Mason Appleton,28,WPG,C,9,3,4,7,1,2,0.8,2,0,1,1,4,0,0,13,23.1,142,15:47,8,4,0,0,
2023-2024,14,Joel Armia,30,MTL,RW,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,3,33.3,27,13:27,0,1,0,0,
2023-2024,15,Andreas Athanasiou,29,CHI,C,8,0,3,3,-5,0,0,0,0,0,0,2,1,0,15,0,107,13:21,2,1,5,9,35.7
2023-2024,16,Cam Atkinson,34,PHI,RW,9,5,3,8,-2,2,0.9,5,0,0,2,1,2,0,24,20.8,157,17:27,5,2,0,0,
2023-2024,17,Mikael Backlund,34,CGY,C,9,0,3,3,0,4,0.1,0,0,0,0,2,0,1,25,0,170,18:53,5,7,85,76,52.8
2023-2024,18,Nicklas Bäckström,36,WSH,C,8,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,12,0,116,14:34,5,2,44,40,52.4
2023-2024,19,Kevin Bahl,23,NJD,D,8,0,2,2,0,2,0.3,0,0,0,0,2,0,0,8,0,153,19:05,9,16,0,0,
2023-2024,20,Uvis Balinskis,27,FLA,D,8,0,0,0,-2,6,-0.1,0,0,0,0,0,0,0,7,0,112,14:00,6,12,0,0,
2023-2024,21,Alexander Barabanov,29,SJS,F,6,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,9,0,98,16:21,1,3,0,0,
2023-2024,22,Ivan Barbashev,28,VEG,C,10,2,0,2,1,10,0.2,2,0,0,0,0,0,0,14,14.3,153,15:16,4,20,0,2,0
2023-2024,23,Aleksander Barkov,28,FLA,C,7,2,6,8,7,2,1,2,0,0,0,5,1,0,14,14.3,148,21:10,2,8,66,64,50.8
2023-2024,24,Alex Barré-Boulet,26,TBL,F,7,3,2,5,0,4,0.6,2,1,0,0,2,0,0,14,21.4,95,13:32,0,1,5,4,55.6
2023-2024,25,Tyson Barrie,32,NSH,D,8,0,4,4,-1,2,0.5,0,0,0,0,3,1,0,11,0,158,19:43,7,3,0,0,
2023-2024,26,Justin Barron,22,MTL,D,6,3,0,3,4,8,0.9,3,0,0,0,0,0,0,7,42.9,110,18:16,10,10,0,0,
2023-2024,27,Morgan Barron,25,WPG,C,9,2,1,3,0,4,0.3,2,0,0,0,0,1,0,11,18.2,98,10:52,5,7,2,3,40
2023-2024,28,Mathew Barzal,26,NYI,C,8,1,5,6,-2,4,0.4,0,1,0,1,3,2,0,31,3.2,144,17:59,2,2,0,1,0
2023-2024,29,Nathan Bastian,26,NJD,RW,7,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,12,0,72,10:19,6,14,1,2,33.3
2023-2024,30,Drake Batherson,25,OTT,C,8,1,3,4,-5,2,0,1,0,0,0,1,2,0,17,5.9,137,17:11,3,7,1,1,50
2023-2024,31,Jake Bean,25,CBJ,D,9,1,2,3,-3,4,0.4,1,0,0,0,2,0,0,13,7.7,153,17:00,13,6,0,0,
2023-2024,32,Anthony Beauvillier,26,VAN,LW,8,0,1,1,2,0,-0.1,0,0,0,0,1,0,0,16,0,105,13:04,7,5,5,2,71.4