Season Year,Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against Per 90 Minutes,Shots on Target Against,Saves,Save Percentage,Wins ,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Penalty Kick Save%
2023-2024,1,Alisson,BRA,GK,Liverpool,31-029,1992,10,10,900,10,9,0.9,39,31,76.9,7,2,1,3,30,0,0,0,0,
2023-2024,2,Alphonse Areola,FRA,GK,West Ham,30-246,1993,10,10,900,10,17,1.7,56,38,73.2,4,2,4,1,10,3,2,1,0,33.3
2023-2024,3,Ederson,BRA,GK,Manchester City,30-075,1993,9,9,810,9,6,0.67,19,14,68.4,7,0,2,4,44.4,0,0,0,0,
2023-2024,4,Mark Flekken,NED,GK,Brentford,30-140,1993,9,9,810,9,10,1.11,30,20,70,3,4,2,3,33.3,1,1,0,0,0
2023-2024,5,Wes Foderingham,ENG,GK,Sheffield Utd,32-290,1991,10,10,900,10,29,2.9,78,50,64.1,0,1,9,0,0,2,1,0,1,0
2023-2024,6,Sam Johnstone,ENG,GK,Crystal Palace,30-220,1993,10,10,900,10,13,1.3,35,23,68.6,3,3,4,4,40,2,2,0,0,0
2023-2024,7,Thomas Kaminski,BEL,GK,Luton Town,31-008,1992,10,10,900,10,20,2,54,35,64.8,1,2,7,0,0,1,1,0,0,0
2023-2024,8,Bernd Leno,GER,GK,Fulham,31-241,1992,10,10,900,10,16,1.6,54,39,75.9,3,3,4,3,30,3,3,0,0,0
2023-2024,9,Emiliano Martínez,ARG,GK,Aston Villa,31-059,1992,9,9,810,9,13,1.44,36,25,63.9,6,1,2,2,22.2,0,0,0,0,
2023-2024,10,Neto,BRA,GK,Bournemouth,34-104,1989,9,9,810,9,20,2.22,58,38,69,0,3,6,1,11.1,3,2,1,0,33.3
2023-2024,11,Robin Olsen,SWE,GK,Aston Villa,33-296,1990,1,1,90,1,1,1,2,1,50,1,0,0,0,0,0,0,0,0,
2023-2024,12,André Onana,CMR,GK,Manchester Utd,27-212,1996,10,10,900,10,16,1.6,54,39,74.1,5,0,5,2,20,2,2,0,0,0
2023-2024,13,Stefan Ortega,GER,GK,Manchester City,30-359,1992,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
2023-2024,14,Jordan Pickford,ENG,GK,Everton,29-238,1994,10,10,900,10,14,1.4,37,24,67.6,3,1,6,2,20,2,2,0,0,0
2023-2024,15,Nick Pope,ENG,GK,Newcastle Utd,31-195,1992,10,10,900,10,11,1.1,37,26,70.3,5,2,3,4,40,0,0,0,0,
2023-2024,16,Ionu_ Radu,ROU,GK,Bournemouth,26-156,1997,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,
2023-2024,17,Aaron Ramsdale,ENG,GK,Arsenal,25-170,1998,4,4,360,4,4,1,9,5,55.6,3,1,0,1,25,0,0,0,0,
2023-2024,18,David Raya,ESP,GK,Arsenal,28-046,1995,6,6,540,6,4,0.67,12,8,75,4,2,0,4,66.7,1,1,0,0,0
2023-2024,19,José Sá,POR,GK,Wolves,30-287,1993,10,10,900,10,17,1.7,56,40,73.2,3,3,4,1,10,2,2,0,0,0
2023-2024,20,Robert Sánchez,ESP,GK,Chelsea,25-347,1997,10,10,900,10,11,1.1,36,25,72.2,3,3,4,3,30,1,1,0,0,0
2023-2024,21,Jason Steele,ENG,GK,Brighton,33-074,1990,6,6,540,6,12,2,31,20,64.5,3,1,2,0,0,1,1,0,0,0
2023-2024,22,Thomas Strakosha,ALB,GK,Brentford,28-226,1995,1,1,90,1,2,2,8,6,75,0,0,1,0,0,0,0,0,0,
2023-2024,23,James Trafford,ENG,GK,Burnley,21-021,2002,10,10,900,10,25,2.5,62,38,62.9,1,1,8,0,0,2,2,0,0,0
2023-2024,24,Matt Turner,USA,GK,Nott'ham Forest,29-129,1994,10,10,900,10,15,1.5,45,30,68.9,2,4,4,2,20,1,1,0,0,0
2023-2024,25,Bart Verbruggen,NED,GK,Brighton,21-074,2002,4,4,360,4,7,1.75,16,9,62.5,2,1,1,0,0,1,1,0,0,0
2023-2024,26,Guglielmo Vicario,ITA,GK,Tottenham,27-024,1996,10,10,900,10,9,0.9,41,33,82.9,8,2,0,4,40,2,2,0,0,0